,Month,Year,Day,Predicted
281,10.0,1994.0,4,1.2793615
282,10.0,1994.0,5,1.2782847
283,10.0,1994.0,6,1.2778999
284,10.0,1994.0,7,1.2780261
285,10.0,1994.0,12,1.278164
286,10.0,1994.0,13,1.2772957
287,10.0,1994.0,14,1.2745907
288,10.0,1994.0,18,1.2746067
289,10.0,1994.0,19,1.274802
290,10.0,1994.0,20,1.2737927
291,10.0,1994.0,21,1.2737544
292,10.0,1994.0,25,1.2739276
293,10.0,1994.0,26,1.2754045
294,10.0,1994.0,27,1.2773014
295,10.0,1994.0,28,1.2788467
296,11.0,1994.0,1,1.2798982
297,11.0,1994.0,2,1.2810297
298,11.0,1994.0,3,1.2810292
299,11.0,1994.0,4,1.2818501
300,11.0,1994.0,8,1.2819885
301,11.0,1994.0,9,1.2838558
302,11.0,1994.0,10,1.2850637
303,11.0,1994.0,11,1.2866027
304,11.0,1994.0,15,1.2875947
305,11.0,1994.0,16,1.2889234
306,11.0,1994.0,17,1.2898933
307,11.0,1994.0,18,1.2908831
308,11.0,1994.0,22,1.2918284
309,11.0,1994.0,23,1.2928938
310,11.0,1994.0,24,1.2937889
311,11.0,1994.0,29,1.2937407
312,11.0,1994.0,30,1.2927601
313,12.0,1994.0,1,1.2923154
314,12.0,1994.0,2,1.2924596
315,12.0,1994.0,6,1.2923999
316,12.0,1994.0,7,1.2914587
317,12.0,1994.0,8,1.288287
318,12.0,1994.0,9,1.2877392
319,12.0,1994.0,13,1.2874997
320,12.0,1994.0,14,1.2865504
321,12.0,1994.0,15,1.2857499
322,12.0,1994.0,16,1.2854196
323,12.0,1994.0,20,1.2863927
324,12.0,1994.0,21,1.2879021
325,12.0,1994.0,22,1.2891234
326,12.0,1994.0,23,1.2894807
327,12.0,1994.0,28,1.2904892
328,12.0,1994.0,29,1.2903908
329,12.0,1994.0,30,1.2913165
330,1.0,1995.0,4,1.2914689
331,1.0,1995.0,5,1.293451
332,1.0,1995.0,6,1.294689
333,1.0,1995.0,10,1.2964829
334,1.0,1995.0,11,1.2978123
335,1.0,1995.0,12,1.2991967
336,1.0,1995.0,13,1.3003585
337,1.0,1995.0,18,1.3015773
338,1.0,1995.0,19,1.3026779
339,1.0,1995.0,20,1.3036711
340,1.0,1995.0,24,1.3047936
341,1.0,1995.0,25,1.3048255
342,1.0,1995.0,26,1.303848
343,1.0,1995.0,27,1.3034252
344,1.0,1995.0,31,1.3037363
345,2.0,1995.0,1,1.3040545
346,2.0,1995.0,2,1.3033409
347,2.0,1995.0,3,1.3004612
348,2.0,1995.0,7,1.3003637
349,2.0,1995.0,8,1.3003109
350,2.0,1995.0,9,1.2996037
351,2.0,1995.0,10,1.299134
352,2.0,1995.0,14,1.2990242
353,2.0,1995.0,15,1.30019
354,2.0,1995.0,16,1.3018569
355,2.0,1995.0,17,1.3034421
356,2.0,1995.0,22,1.3041289
