Date,Open,High,Low,Close
19941012,1.2575,1.2615,1.2575,1.2615
19941013,1.2615,1.2633,1.2615,1.2633
19941014,1.2633,1.2781,1.2633,1.2781
19941018,1.294,1.294,1.2939,1.2939
19941019,1.2939,1.2939,1.2936,1.2936
19941020,1.2936,1.2952,1.2936,1.2952
19941021,1.2952,1.2967,1.2952,1.2967
19941025,1.2996,1.304,1.2996,1.304
19941026,1.304,1.304,1.303,1.303
19941027,1.303,1.303,1.3008,1.3008
19941028,1.3008,1.3008,1.2891,1.2891
19941101,1.2933,1.2992,1.2933,1.2992
19941102,1.2992,1.2992,1.2927,1.2927
19941103,1.2927,1.2927,1.2776,1.2776
19941104,1.2776,1.2781,1.2776,1.2781
19941108,1.2831,1.2874,1.2831,1.2874
19941109,1.2874,1.2874,1.2708,1.2708
19941110,1.2708,1.2708,1.2688,1.2688
19941111,1.2688,1.2688,1.2619,1.2619
19941115,1.2619,1.2619,1.2579,1.2579
19941116,1.2579,1.2579,1.2534,1.2534
19941117,1.2534,1.2562,1.2534,1.2562
19941118,1.2562,1.2562,1.25,1.25
19941122,1.2475,1.2502,1.2475,1.2502
19941123,1.2502,1.252,1.2502,1.252
19941124,1.252,1.252,1.2438,1.2438
19941129,1.2402,1.2402,1.2393,1.2393
19941130,1.2393,1.2393,1.2377,1.2377
19941201,1.2377,1.2377,1.2344,1.2344
19941202,1.2344,1.2344,1.2314,1.2314
19941206,1.2344,1.2344,1.2317,1.2317
19941207,1.2317,1.2344,1.2317,1.2344
19941208,1.2344,1.2344,1.2308,1.2308
19941209,1.2308,1.2308,1.2299,1.2299
19941213,1.2327,1.2327,1.2327,1.2327
19941214,1.2327,1.2327,1.2325,1.2325
19941215,1.2325,1.2332,1.2325,1.2332
19941216,1.2332,1.2332,1.2323,1.2323
19941220,1.2304,1.2316,1.2304,1.2316
19941221,1.2316,1.2321,1.2316,1.2321
19941222,1.2321,1.2321,1.2281,1.2281
19941223,1.2281,1.2282,1.2281,1.2282
19941228,1.2304,1.2349,1.2304,1.2349
19941229,1.2349,1.2477,1.2349,1.2477
19941230,1.2477,1.2491,1.2477,1.2491
19950104,1.2458,1.2458,1.2415,1.2415
19950105,1.2415,1.2457,1.2415,1.2457
19950106,1.2457,1.2457,1.2379,1.2379
19950110,1.248,1.2502,1.248,1.2502
19950111,1.2502,1.2529,1.2502,1.2529
19950112,1.2529,1.2582,1.2529,1.2582
19950113,1.2582,1.2582,1.2532,1.2532
19950118,1.2565,1.2576,1.2565,1.2576
19950119,1.2576,1.2634,1.2576,1.2634
19950120,1.2634,1.272,1.2634,1.272
19950124,1.2721,1.2721,1.2721,1.2721
19950125,1.2721,1.2721,1.2685,1.2685
19950126,1.2685,1.2697,1.2685,1.2697
19950127,1.2697,1.2697,1.2682,1.2682
19950131,1.2759,1.2759,1.2617,1.2617
19950201,1.2617,1.2633,1.2617,1.2633
19950202,1.2633,1.2666,1.2633,1.2666
19950203,1.2666,1.2666,1.2601,1.2601
19950207,1.2575,1.2575,1.2542,1.2542
19950208,1.2542,1.2572,1.2542,1.2572
19950209,1.2572,1.2604,1.2572,1.2604
19950210,1.2604,1.2654,1.2604,1.2654
19950214,1.2657,1.2712,1.2657,1.2712
19950215,1.2712,1.2725,1.2712,1.2725
19950216,1.2725,1.2855,1.2725,1.2855
19950217,1.2855,1.2867,1.2855,1.2867
19950222,1.2945,1.2978,1.2945,1.2978
19950223,1.2978,1.2995,1.2978,1.2995
19950224,1.2995,1.2995,1.2985,1.2985
19950228,1.3016,1.3099,1.3016,1.3099
19950301,1.3099,1.3099,1.3021,1.3021
19950302,1.3021,1.3056,1.3021,1.3056
19950303,1.3056,1.3235,1.3056,1.3235
19950307,1.3452,1.3602,1.3452,1.3602
19950308,1.3602,1.3602,1.3462,1.3462
19950309,1.3462,1.3462,1.3459,1.3459
19950310,1.3459,1.3459,1.3272,1.3272
19950314,1.329,1.329,1.3281,1.3281
19950315,1.3281,1.3478,1.3281,1.3478
19950316,1.3478,1.3478,1.3381,1.3381
19950317,1.3381,1.3426,1.3381,1.3426
19950321,1.3322,1.3322,1.3258,1.3258
19950322,1.3258,1.3317,1.3258,1.3317
19950323,1.3317,1.3317,1.3307,1.3307
19950324,1.3307,1.3307,1.3226,1.3226
19950328,1.335,1.3454,1.335,1.3454
19950329,1.3454,1.3505,1.3454,1.3505
19950330,1.3505,1.3505,1.3328,1.3328
19950331,1.3328,1.3594,1.3328,1.3594
19950404,1.3597,1.3597,1.3531,1.3531
19950405,1.3531,1.3573,1.3531,1.3573
19950406,1.3573,1.3636,1.3573,1.3636
19950407,1.3636,1.3636,1.3599,1.3599
19950411,1.3386,1.3451,1.3386,1.3451
19950412,1.3451,1.3451,1.342,1.342
19950413,1.342,1.358,1.342,1.358
19950414,1.358,1.358,1.3561,1.3561
19950418,1.3754,1.3765,1.3754,1.3765
19950419,1.3765,1.3779,1.3765,1.3779
19950420,1.3779,1.3779,1.3575,1.3575
19950421,1.3575,1.3631,1.3575,1.3631
19950425,1.3653,1.3729,1.3653,1.3729
19950426,1.3729,1.3729,1.3645,1.3645
19950427,1.3645,1.3653,1.3645,1.3653
19950428,1.3653,1.3653,1.3588,1.3588
19950502,1.3563,1.364,1.3563,1.364
19950503,1.364,1.3683,1.364,1.3683
19950504,1.3683,1.3737,1.3683,1.3737
19950505,1.3737,1.3737,1.3714,1.3714
19950509,1.3813,1.3813,1.3751,1.3751
19950510,1.3751,1.3751,1.3634,1.3634
19950511,1.3634,1.3634,1.338,1.338
